Fecha,Ingenio,Precioencuestado,Mercado,Tipo Producto
2025-01-02,Atencingo,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-02,Atencingo,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-02,Atencingo,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-02,Casasano,898.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-02,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-02,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-02,Casasano,910.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-02,Pablo Machado,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-02,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-02,Pablo Machado,910.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-02,Pablo Machado,916.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-02,Pablo Machado,920.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,Atencingo,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,Atencingo,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,Atencingo,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,Casasano,898.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,Casasano,910.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,Pablo Machado,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,Pablo Machado,910.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,Pablo Machado,916.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,Pablo Machado,920.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-06,Atencingo,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-06,Atencingo,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-06,Atencingo,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-06,Casasano,898.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-06,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-06,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-06,Casasano,910.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-06,Pablo Machado,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-06,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-06,Pablo Machado,910.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-06,Pablo Machado,916.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-06,Pablo Machado,920.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-07,Atencingo,870.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-07,Atencingo,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-07,Atencingo,892.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-07,Casasano,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-07,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-07,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-07,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-07,Pablo Machado,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-07,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-07,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-07,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-07,Pablo Machado,910.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-08,Atencingo,870.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-08,Atencingo,886.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-08,Atencingo,892.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-08,Casasano,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-08,Casasano,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-08,Casasano,896.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-08,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-08,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-08,Pablo Machado,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-08,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-08,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Atencingo,870.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Casasano,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Casasano,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Casasano,896.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Pablo Machado,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Pujiltic,886.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Pujiltic,892.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,Atencingo,870.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,Atencingo,886.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
